date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2024-05-04,56,53,64,70,60,55,94,1,20580,27420,6840,4800,11340,4440,214,75,780,11760,2024-05-04T09:46:58.000+04:00,2024-05-04T17:23:58.000+04:00,52.74,43,121,-0.11,-0.05,15.25,78,52,95,43,100,100,786,3096,12321,12120,43800,27120,9960,3180,2340,0,1.71875,1,78,55,47,90,87,100,99,86,100
2024-05-05,62,67,68,95,79,56,62,1,24210,29120,4910,5100,13170,5940,306,83,1740,14610,2024-05-05T09:01:59.000+04:00,2024-05-05T17:07:19.000+04:00,50.91,45,112,0.19,0.15,14.875,85,66,100,60,100,100,894,3103,15378,14660,37920,31500,9600,4980,2400,0,1.71875,0,74,63,55,55,83,90,84,78,100
2024-05-06,47,40,19,47,81,62,91,1,17310,20520,3210,1440,12870,3000,123,84,720,10200,2024-05-06T05:15:02.000+04:00,2024-05-06T10:57:02.000+04:00,52.32,46,114,0.31,0.3,15.25,87,63,95,78,100,100,730,2994,11687,11240,39660,21180,11940,3540,1860,8220,1.6875,1,61,44,49,56,83,79,76,79,26
2024-05-07,58,70,45,98,51,49,72,1,24990,35369,10379,3390,13920,7680,298,71,300,14820,2024-05-07T07:15:31.000+04:00,2024-05-07T17:05:00.000+04:00,54.39,44,113,0.58,0.27,15.5,81,65,100,60,100,100,361,2606,8320,4994,35640,35280,12540,2940,0,0,1.4375,0,73,58,59,59,83,57,91,75,100
2024-05-08,50,54,51,71,46,44,81,1,20850,30420,9570,3810,12570,4470,183,69,480,12630,2024-05-08T07:57:29.000+04:00,2024-05-08T16:24:29.000+04:00,51.0,42,121,-0.09,0.15,15.375,85,64,100,60,100,100,540,2824,12062,8244,36180,30000,15720,4440,60,0,1.5625,0,77,48,52,97,85,100,100,75,100
2024-05-09,54,52,49,30,88,70,89,1,20520,23640,3120,3630,14940,1950,174,87,660,11850,2024-05-09T07:08:32.000+04:00,2024-05-09T13:42:32.000+04:00,49.63,44,126,-0.11,0.25,15.5,82,48,95,60,100,100,402,2664,9305,6040,46500,23580,13080,3240,0,0,1.5,1,74,53,55,89,78,100,90,74,92
2024-05-10,52,48,36,72,53,74,75,1,19350,27000,7650,2760,12090,4500,178,72,1410,13020,2024-05-10T08:43:29.000+04:00,2024-05-10T16:13:29.000+04:00,50.2,40,128,0.69,0.54,15.5,83,56,100,60,100,99,382,2673,8552,5212,41520,27120,14880,2880,0,0,1.5,0,73,50,55,82,85,47,99,74,100
2024-05-12,77,100,73,100,58,50,91,17,23280,35025,11745,4140,15060,4080,254,66,720,15180,2024-05-11T08:30:29.000+04:00,2024-05-11T18:14:14.000+04:00,54.85,44,94,0.86,0.49,15.25,81,53,78,60,100,100,997,3276,15739,15764,45600,21720,11820,4620,2640,0,1.84375,2,71,81,72,56,78,34,89,76,100
2024-05-13,48,42,46,60,88,44,75,1,17610,20160,2550,3450,10470,3690,151,87,390,9930,2024-05-13T07:13:30.000+04:00,2024-05-13T12:49:30.000+04:00,47.44,46,121,0.02,0.43,15.0,82,54,95,60,100,100,401,2707,8963,5584,45180,20340,18420,2460,0,0,1.53125,1,65,45,50,45,85,100,74,79,74
2024-05-14,63,64,85,94,53,50,97,1,23340,32520,9180,6360,11160,5820,245,72,930,14100,2024-05-14T07:32:32.000+04:00,2024-05-14T16:34:32.000+04:00,52.87,43,114,0.63,0.81,15.0,91,80,100,78,100,100,924,3179,15368,13822,31020,31860,17340,3720,2460,0,1.78125,0,75,64,58,85,88,53,97,67,100
2024-05-15,49,49,63,72,44,43,72,1,19440,28740,9300,4740,10230,4470,245,68,1470,12870,2024-05-15T08:28:32.000+04:00,2024-05-15T16:27:32.000+04:00,49.74,40,106,0.35,0.55,15.125,92,55,95,95,100,100,627,2916,8032,8202,41100,28920,13620,240,2520,0,1.625,1,71,46,51,67,73,77,99,66,100
2024-05-16,55,57,53,66,72,59,72,1,21660,27180,5520,3930,13620,4110,259,80,300,12270,2024-05-16T08:29:29.000+04:00,2024-05-16T16:02:29.000+04:00,54.11,44,113,0.04,0.22,14.875,94,77,95,95,100,100,487,2794,10470,6729,32340,26700,24600,2760,0,0,1.5625,1,71,54,55,67,84,100,88,69,84
2024-05-17,52,34,45,61,83,78,91,1,15690,18360,2670,3330,8550,3810,139,85,720,9030,2024-05-17T08:22:32.000+04:00,2024-05-17T13:28:32.000+04:00,44.1,41,120,-0.19,0.31,14.75,94,74,95,95,100,100,461,2733,9512,7229,35520,18480,15000,3180,0,14220,1.53125,1,71,50,48,97,81,98,100,68,59
2024-05-18,46,53,49,50,53,34,72,1,20640,28839,8199,3690,13830,3120,312,72,330,12600,2024-05-18T09:17:03.000+04:00,2024-05-18T17:17:42.000+04:00,52.99,42,107,0.26,0.32,15.0,93,63,95,95,100,100,723,2966,11251,11014,39060,28620,13740,1560,2460,960,1.65625,1,73,43,53,81,80,84,100,64,100
2024-05-19,53,56,44,86,46,47,89,1,21390,30866,9476,3270,12780,5340,167,69,690,12630,2024-05-19T07:39:02.000+04:00,2024-05-19T16:13:28.000+04:00,53.71,42,116,0.62,0.3,15.0,94,74,95,95,100,100,962,3194,15233,15435,32760,31800,15420,3360,2580,480,1.78125,1,73,51,49,63,81,53,100,70,100
2024-05-20,51,49,33,97,51,51,81,1,19440,27480,8040,2490,10140,6810,147,71,510,11790,2024-05-20T08:18:31.000+04:00,2024-05-20T15:56:31.000+04:00,53.16,43,111,-0.02,0.04,15.375,87,60,95,78,100,100,325,2598,6517,4383,39300,27180,18720,1200,0,0,1.46875,1,71,49,48,61,78,100,94,67,100
2024-05-21,59,63,53,58,55,77,89,1,23280,31867,8587,3990,15690,3600,215,73,1110,14130,2024-05-21T08:56:34.000+04:00,2024-05-21T17:47:41.000+04:00,54.23,44,131,0.06,0.33,14.75,91,80,100,78,100,100,883,3151,14712,13328,31320,31260,18960,2340,2520,0,1.75,0,77,59,52,95,89,100,87,74,100
2024-05-22,56,53,68,92,53,54,81,1,20430,28413,7983,5100,9660,5670,178,72,510,12750,2024-05-22T08:58:32.000+04:00,2024-05-22T16:52:05.000+04:00,54.34,43,109,0.45,0.5,15.625,90,84,78,78,100,100,636,2839,9064,9590,27720,28320,12000,780,2160,15420,1.59375,2,72,55,49,68,73,68,94,67,100
2024-05-23,52,47,60,82,41,63,81,1,19020,28500,9480,4500,9420,5100,193,67,510,11880,2024-05-23T08:57:30.000+04:00,2024-05-23T16:52:30.000+04:00,54.45,45,103,0.3,0.2,15.375,93,66,100,95,100,100,830,3120,12181,12067,35160,28740,17940,2040,2520,0,1.75,0,71,50,50,68,81,81,79,70,100
2024-05-24,54,61,53,90,46,47,72,1,22710,32875,10165,3990,13170,5550,226,69,1500,14460,2024-05-24T07:34:33.000+04:00,2024-05-24T16:42:28.000+04:00,55.09,46,93,0.15,0.25,15.375,91,64,100,100,100,100,752,2989,10713,11214,38160,32400,11700,1620,2520,0,1.65625,0,68,53,54,68,78,93,72,66,78
2024-05-25,44,44,44,38,41,60,78,1,18090,27150,9060,3300,12420,2370,192,67,420,10740,2024-05-25T08:51:30.000+04:00,2024-05-25T16:24:00.000+04:00,51.92,42,118,0.35,0.46,14.5,86,50,100,100,100,100,802,3061,11597,12492,45540,26700,8640,2460,2520,540,1.71875,0,72,40,48,66,77,76,100,72,100
2024-05-26,67,82,62,96,53,67,72,1,27960,38955,10995,4680,17070,6210,310,72,330,15810,2024-05-26T05:44:00.000+04:00,2024-05-26T16:33:15.000+04:00,52.9,44,110,0.32,0.36,14.625,88,82,95,100,100,100,727,2879,11959,11515,28860,39180,11880,2520,2040,1920,1.59375,1,74,69,59,56,75,78,87,65,100
2024-05-27,57,54,56,54,90,60,86,1,20760,23538,2778,4170,13230,3360,286,88,1200,12210,2024-05-27T08:27:33.000+04:00,2024-05-27T14:59:51.000+04:00,47.47,45,117,-0.1,0.17,14.75,74,67,100,100,100,100,697,2914,9711,10362,39720,24720,9360,1560,2400,8640,1.625,0,70,56,50,78,76,100,79,69,82
2024-05-28,45,25,25,54,86,69,94,1,13140,15327,2187,1890,7890,3360,103,86,780,7650,2024-05-28T09:08:30.000+04:00,2024-05-28T13:23:57.000+04:00,47.02,43,112,-0.43,0.12,15.125,67,40,95,100,100,100,672,2986,8959,9139,51900,16980,14040,360,2580,540,1.6875,1,63,41,50,61,75,90,94,68,35
2024-05-29,47,48,31,66,67,51,64,1,19290,24757,5467,2310,12840,4140,207,78,150,10410,2024-05-29T07:55:00.000+04:00,2024-05-29T14:47:37.000+04:00,48.5,42,113,-0.26,0.08,15.0,65,49,78,100,100,100,716,2952,10673,11055,46380,24840,10260,2760,2160,0,1.65625,2,70,44,55,56,77,96,100,70,82
2024-05-30,43,40,50,39,41,43,97,1,17100,25620,8520,3750,10890,2460,136,67,840,10320,2024-05-30T08:39:01.000+04:00,2024-05-30T15:46:01.000+04:00,52.86,42,126,-0.32,-0.17,14.875,69,57,100,100,100,100,808,3064,11451,11967,41760,25380,14880,1800,2580,0,1.75,0,70,39,46,62,75,94,100,74,96
2024-05-31,49,42,45,64,62,61,81,1,17760,23263,5503,3330,10410,4020,176,76,510,10410,2024-05-31T08:39:00.000+04:00,2024-05-31T15:06:43.000+04:00,51.2,41,109,-0.65,-0.4,14.875,68,50,100,100,100,100,634,2891,9769,9514,45240,23340,15060,1080,1680,0,1.65625,0,70,46,46,63,76,83,100,70,86
2024-06-01,48,36,28,65,76,79,70,1,16230,19850,3620,2160,9990,4080,129,82,1560,10290,2024-06-01T06:57:03.000+04:00,2024-06-01T12:27:53.000+04:00,45.95,43,145,-0.22,-0.17,15.125,69,65,95,100,100,100,1067,3311,15430,18171,39840,21660,20760,1140,3000,0,1.875,1,69,45,42,70,79,97,93,84,67
2024-06-02,61,73,40,75,65,57,86,1,25740,33476,7736,2970,18090,4680,245,77,1170,15660,2024-06-02T06:53:01.000+04:00,2024-06-02T16:10:57.000+04:00,52.51,42,115,0.56,0.04,15.375,73,85,100,100,100,100,886,3065,13261,13751,27900,33840,14040,2880,2580,5160,1.71875,0,72,61,48,50,70,59,100,74,100
2024-06-03,48,45,59,35,53,64,78,1,18540,25763,7223,4410,11910,2220,204,72,1380,11310,2024-06-03T08:08:58.000+04:00,2024-06-03T15:18:21.000+04:00,50.33,42,119,0.01,-0.22,14.875,70,64,100,100,100,100,782,3061,11417,10985,39600,24840,18240,1200,2520,0,1.71875,0,72,45,39,70,77,100,100,83,97
2024-06-04,51,56,48,56,53,42,91,1,21240,29445,8205,3570,14190,3480,232,72,720,13590,2024-06-04T08:52:02.000+04:00,2024-06-04T17:02:47.000+04:00,50.87,39,113,0.56,0.31,15.5,80,69,100,100,100,100,448,2672,10514,6599,34380,29040,19260,3720,0,0,1.53125,0,73,49,47,69,75,59,97,81,97
2024-06-05,52,42,40,43,93,78,78,1,17610,19896,2286,3030,11880,2700,158,89,420,9660,2024-06-05T08:10:59.000+04:00,2024-06-05T13:42:35.000+04:00,43.55,41,133,-0.25,0.2,14.75,94,62,100,100,100,100,834,3126,13376,12322,42780,19800,19560,1680,2580,0,1.78125,0,74,50,44,100,77,96,100,86,67
2024-06-06,54,44,53,60,81,70,86,1,18270,21720,3450,3990,10500,3780,168,84,1170,11070,2024-06-06T09:39:03.000+04:00,2024-06-06T15:41:03.000+04:00,44.61,41,107,-0.49,0.0,14.5,93,59,95,100,100,100,741,3019,11050,10572,43380,22020,16920,1740,2340,0,1.71875,1,70,53,46,62,72,89,100,78,75
2024-06-07,58,67,49,59,53,65,89,1,24270,33540,9270,3630,16980,3660,187,72,660,14820,2024-06-07T08:01:29.000+04:00,2024-06-07T17:20:29.000+04:00,52.79,42,106,0.69,0.52,15.5,95,77,100,100,100,100,808,2954,11952,12758,31260,33360,12000,2880,2580,4320,1.6875,0,74,58,49,67,79,49,98,83,100
2024-06-08,60,66,55,97,58,42,94,1,23970,32372,8402,4110,12600,7260,249,74,1020,15390,2024-06-08T08:27:28.000+04:00,2024-06-08T17:27:00.000+04:00,53.44,41,110,0.5,0.08,15.5,91,72,95,100,100,100,849,3053,13273,13239,34080,31200,15060,2580,2640,840,1.71875,1,76,60,48,70,76,64,100,81,100
2024-06-09,41,33,30,26,83,47,89,1,15450,18235,2785,2250,11550,1650,157,85,1110,9660,2024-06-09T08:11:03.000+04:00,2024-06-09T13:14:58.000+04:00,47.44,43,126,-0.27,-0.07,15.0,86,56,95,100,100,100,891,3132,14278,14315,43560,20160,16980,2700,2520,480,1.78125,1,64,36,45,69,78,96,89,83,33
2024-06-10,51,47,29,42,93,64,83,1,19050,21520,2470,2190,14250,2610,184,89,540,10440,2024-06-10T07:10:59.000+04:00,2024-06-10T13:09:39.000+04:00,48.71,43,130,0.3,0.57,14.875,84,56,100,100,100,100,750,3007,11226,10887,43260,21960,16980,1680,2520,0,1.71875,0,65,49,51,58,76,81,89,81,33
2024-06-11,64,70,57,68,72,67,94,1,24960,31317,6357,4230,16500,4230,243,80,990,14970,2024-06-11T07:55:04.000+04:00,2024-06-11T16:37:01.000+04:00,56.02,41,104,0.16,0.29,15.875,83,67,95,100,100,100,244,2415,5839,3263,36300,31620,12000,1140,0,5340,1.375,1,76,65,52,67,78,93,100,76,100
2024-06-12,40,37,40,55,30,44,78,1,16410,26520,10110,3030,9960,3420,190,62,420,9780,2024-06-12T09:18:02.000+04:00,2024-06-12T16:40:02.000+04:00,54.07,41,135,-0.46,-0.14,15.5,94,63,100,100,100,100,875,3135,11993,13039,39120,26160,16080,2040,3000,0,1.78125,0,75,35,44,100,82,90,100,86,96
2024-06-13,52,42,27,67,88,68,91,1,17700,20338,2638,2070,11460,4170,155,87,720,10530,2024-06-13T08:09:33.000+04:00,2024-06-13T13:48:31.000+04:00,47.19,42,155,0.12,0.28,15.375,93,55,100,100,100,100,762,3018,11025,11426,44580,20940,15480,1380,2760,1260,1.71875,0,68,50,50,64,74,96,95,86,43
2024-06-15,81,100,52,100,69,75,97,28,27390,34619,7229,2820,19290,5280,292,79,870,17160,2024-06-15T06:03:01.000+05:00,2024-06-15T15:40:00.000+05:00,53.14,49,133,0.25,0.02,14.375,95,77,100,95,100,100,765,2912,13393,13450,32100,34800,12360,4800,1260,1080,1.65625,0,77,86,62,88,84,85,43,89,100
2024-06-16,45,35,45,37,81,54,81,1,16020,19104,3084,3420,10260,2340,216,84,480,9570,2024-06-16T08:13:33.000+05:00,2024-06-16T13:31:57.000+05:00,47.52,44,121,0.05,0.19,14.875,93,59,100,95,100,100,443,2675,8669,7356,42060,19080,15540,2700,0,7020,1.53125,0,68,41,41,80,79,100,82,88,63
2024-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,87,77,100,60,100,100,955,3141,15880,15258,29460,35160,7860,5100,2580,6240,1.75,0,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,91,54,100,95,100,100,504,2753,11110,8401,42000,18900,21420,2700,0,1380,1.59375,0,,,,,,,,,
